id,eng_name,thai_name,type,brand,model,serial,in/out,department,recorder,recorder_ch,ip,mac_address,status,account_no,image,map_id,x,y
N1C502,Nure_room,หน้าห้องพยาบาล,Bullet,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463457,"Out door",2บุคคลฯ,N1,502,192.168.20.6,,Active,N1C502,,1,46.4400,54.9200
PA21,CM1-PA21,PA21,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA21,,13,28.7500,59.1900
N1C2102,receive_SB,"บรรจุกล่อง SB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929300,"In door",2แพคกิ้ง,N1,2102,192.168.20.23,,Active,N1C2102,,1,53.5400,38.3700
N1C202,Packing_exit,"ทางออก แพคกิ้ง",Bullet,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463425,"In door",2แพคกิ้ง,N1,202,192.168.20.55,,Active,N1C202,,1,49.2200,42.1700
N4C102,CD3,"ห้องเย็น 3",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617272,"In door",2สโตร์ฯ,N4,102,192.168.20.81,,Active,N4C102,,1,54.3600,46.8900
OS11,CM1-OS11,OS11,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS11,,13,17.3100,39.1200
OS04,CM1-OS04,OS04,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS04,,13,4.1400,12.3900
OS05,CM1-OS05,OS05,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS05,,13,10.1400,20.3500
N1C2202,Cabitnet_PA,"ห้องเก็บของ แพคกิ้ง",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929294,"In door",2แพคกิ้ง,N1,2202,192.168.20.25,,Active,N1C2202,,1,49.7600,35.1200
PA23,CM1-PA23,PA23,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA23,,13,35.5800,32.3100
PR57,CM1-PR57,PR57,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR57,,13,89.5100,14.3700
N2C1702,Fastback_Auto1,"รางลำเลียง Auto1",Bullet,Hikvision,DS-2CD2026G2-I,I20201216AAWRF21488682,"In door",2แพคกิ้ง,N2,1702,192.168.20.15,,Active,N2C1702,,1,50.4100,34.4300
PR70,CM1-PR70,PR70,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR70,,13,,
RM67,CM1-RM67,RM67,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM67,,13,,
PA24,CM1-PA24,PA24,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA24,,13,30.9500,43.8300
N1C2002,SB_select,"สายพานรวม SB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929275,"In door",2แพคกิ้ง,N1,2002,192.168.20.22,,Active,N1C2002,,1,50.5600,36.8300
N2C802,Auto_AB,"Auto AB",Bullet,Hikvision,DS-2CD3021G0-I,I20230824AAWRAF6298033,"In door",2แพคกิ้ง,N2,802,192.168.20.37,,Active,N2C802,,1,51.9400,36.5500
N2C602,Fastback_auto2,"รางลำเลียง Auto2",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929276,"In door",2แพคกิ้ง,N2,602,192.168.20.35,,Active,N2C602,,1,53.7500,34.3100
