asset_code,asset_name,holder,type,brand,model,serial,department,ip,mac_address,status,image,map_id,x,y
N1C2502,Shaker_line,"ถังเกลือ ไลน์ 1",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929289,2ผลิต,192.168.20.28,,Active,,1,59.9800,31.6800
N3C502,cutter_line_2,"สายพานลำเลียงไลน์ 1",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234269,2ผลิต,192.168.20.59,,Active,,1,69.7300,36.4300
N2C202,wash_line1,"ถังล้าง ไลน์ 1",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929359,2ผลิต,192.168.20.31,,Active,,1,63.1800,31.7200
N4C1602,Attendent_time,ลานรูดบัตร,Camera,Hikvision,,,2บุคคลฯ,192.168.20.93,,Active,,1,44.6300,49.0200
N4C1202,dress_room_PR,ตู้ล๊อกเกอร์ผลิต,Camera,Hikvision,,,2ผลิต,192.168.20.71,,Active,,1,78.4500,29.0700
N1C2802,SB_shaker,"รางลำเลียง SB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929301,2แพคกิ้ง,192.168.20.21,,Active,,1,50.5600,40.3100
PA33,CM1-PA33,PA33,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,39.9500,45.0000
PA22,CM1-PA22,PA22,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,34.2500,33.2400
N4C802,CD11,"ห้องเย็น 11",Camera,Hikvision,,,2สโตร์ฯ,192.168.20.88,,Active,,1,54.4100,32.6400
RM62,CM1-RM62,RM62,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,90.0100,20.3200
PA31,CM1-PA31,PA31,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,38.2800,46.2200
N3C302,select_line2,"สายพาน ไลน์ 2",Camera,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234257,2ผลิต,192.168.20.50,,Active,,1,66.4000,30.0400
PA29,CM1-PA29,PA29,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,38.2200,51.4900
N4C2202,fn_dry,"ลิฟท์ F/n Dry",Camera,Hikvision,,,2สโตร์ฯ,192.168.20.98,,Active,,1,47.9200,34.3800
