asset_code,asset_name,holder,type,brand,model,serial,department,ip,mac_address,status,image,map_id,x,y
N1C502,Nure_room,หน้าห้องพยาบาล,Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463457,2บุคคลฯ,192.168.20.6,,Active,,1,46.4400,54.9200
PA21,CM1-PA21,PA21,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,28.7500,59.1900
N1C2102,receive_SB,"บรรจุกล่อง SB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929300,2แพคกิ้ง,192.168.20.23,,Active,,1,53.5400,38.3700
N1C202,Packing_exit,"ทางออก แพคกิ้ง",Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463425,2แพคกิ้ง,192.168.20.55,,Active,,1,49.2200,42.1700
N4C102,CD3,"ห้องเย็น 3",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617272,2สโตร์ฯ,192.168.20.81,,Active,,1,54.3600,46.8900
OS11,CM1-OS11,OS11,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,17.3100,39.1200
OS04,CM1-OS04,OS04,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,4.1400,12.3900
OS05,CM1-OS05,OS05,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,10.1400,20.3500
N1C2202,Cabitnet_PA,"ห้องเก็บของ แพคกิ้ง",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929294,2แพคกิ้ง,192.168.20.25,,Active,,1,49.7600,35.1200
PA23,CM1-PA23,PA23,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,35.5800,32.3100
PR57,CM1-PR57,PR57,Camera,Hikvision,,,1ผลิต,,,Active,,13,89.5100,14.3700
N2C1702,Fastback_Auto1,"รางลำเลียง Auto1",Camera,Hikvision,DS-2CD2026G2-I,I20201216AAWRF21488682,2แพคกิ้ง,192.168.20.15,,Active,,1,50.4100,34.4300
PR70,CM1-PR70,PR70,Camera,Hikvision,,,1ผลิต,,,Active,,13,,
RM67,CM1-RM67,RM67,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,,
PA24,CM1-PA24,PA24,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,30.9500,43.8300
N1C2002,SB_select,"สายพานรวม SB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929275,2แพคกิ้ง,192.168.20.22,,Active,,1,50.5600,36.8300
N2C802,Auto_AB,"Auto AB",Camera,Hikvision,DS-2CD3021G0-I,I20230824AAWRAF6298033,2แพคกิ้ง,192.168.20.37,,Active,,1,51.9400,36.5500
N2C602,Fastback_auto2,"รางลำเลียง Auto2",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929276,2แพคกิ้ง,192.168.20.35,,Active,,1,53.7500,34.3100
N1C602,Side_Office,"ประตูข้าง สำนักงาน",Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463436,2บุคคลฯ,192.168.20.7,,Active,,1,46.4300,54.5800
D4C202,Bio2,"ห้องเตรียมสาร Lab",Camera,Hikvision,,,2ห้องปฏิบัติการ,192.168.20.204,,Active,,4,12.3400,12.2600
OS14,CM1-OS14,OS14,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,12.3700,78.5700
OS06,CM1-OS06,OS06,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,3.2300,12.4300
N3C1302,F1_PA,"ห้องกล่อง แพคกิ้ง",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231201AAWRAX3842227,2แพคกิ้ง,192.168.20.61,,Active,,1,49.9100,33.4400
ST47,CM1-ST47,ST47,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,19.5000,96.0300
N1C1002,workway_door,"ประตูทางเข้า เล็ก",Camera,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200742,2บุคคลฯ,192.168.0.211,,Active,,1,16.8000,55.1300
OS20,CM1-OS20,OS20,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,26.3400,31.5200
OS07,CM1-OS07,OS07,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,12.4000,11.2200
PA35,CM1-PA35,PA35,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,34.0400,40.1600
